매장명,매장주소
본도시락 원주혁신도시점,강원도 원주시 반곡동 1880-7 102호
본도시락 원주혁신도시점,강원도 원주시 반곡동 1880-7 102호
본 죽&비빔밥 원주단계점,"강원도 원주시 천사로 12 (단계동, 성우프라자) 106호"
본도시락 속초점,강원도 속초시 동해대로 4169 (조양동) 건영빌딩 2층
본도시락 원주기업도시점,강원도 원주시 지정면 가곡리 1424-6 1층
본 죽&비빔밥 속초점,강원도 속초시 중앙로 89-1 (청학동) 1층
본 죽&비빔밥 인제점,강원도 인제군 인제읍 인제로 200 (상동리) 1층
본 죽&비빔밥 강릉입암점,강원도 강릉시 성덕로 316-11 (입암동) 103호
본 죽&비빔밥 원주문막점,강원도 원주시 문막읍 건등로 24 (건등리) 1층
본 죽&비빔밥 주문진점,"강원도 강릉시 주문진읍 항구로 40 (주문리, 강릉주문진풍림아이원하버뷰) 104호"
본설렁탕 춘천명동점,강원도 춘천시 아침길 3 (조양동) 1층
본 죽&비빔밥 춘천퇴계한숲점,"강원도 춘천시 안마산로 113 (퇴계동, e편한세상 춘천 한숲시티) 상가 B2-103호"
본도시락 춘천장학점,강원도 춘천시 동면 춘천순환로 613 (장학리) 1층
본도시락 춘천교대점,강원도 춘천시 공지로 121-1 (석사동) 1층
본 죽&비빔밥 원주기업도시점,강원도 원주시 지정면 신지정로 322 (가곡리) 104호
본 죽&비빔밥 원주법원점,강원 원주시 능라동길 70 (무실동) 104호
본 죽&비빔밥 원주태장점,강원 원주시 흥양로51번길 1 (태장동) 1층
본 죽&비빔밥 원주단관점,강원 원주시 단구로 371 (단구동) 1층
본도시락 원주무실점,강원 원주시 능라동길 51 (무실동) 시네시티타워빌딩 104호
본도시락 강릉교동점,강원도 강릉시 율곡초교길47번길 23 (교동)
본도시락 홍천점,강원도 홍천군 홍천읍 홍천로 372 (미진타워) 미진타워 103호
본 죽&비빔밥 삼척점,"강원도 삼척시 대학로 32-9 (남양동, 중앙빌딩) 105호"
본 죽&비빔밥 강릉아산병원점,강원도 강릉시 사천면 방동길 27
본도시락 춘천점,강원도 춘천시 춘천로151번길 2 (운교동)
본죽 횡성점,강원도 횡성군 횡성읍 문정로 22
본죽 강원평창점,강원도 평창군 평창읍 백오로 83
본죽 춘천온의점,강원도 춘천시 영서로 2313 (온의동)
본죽 춘천우두강변점,강원도 춘천시 충열로 14 (우두동)
본도시락 강릉중앙점,강원도 강릉시 강변로 296 (노암동)
본죽 강릉유천점,강원도 강릉시 선수촌로63번길 18-15 (홍제동) 101호
본죽 태백점,강원도 태백시 연지로 17 (황지동)
본죽 춘천후평점,강원도 춘천시 후석로 266 (후평동)
본 죽&비빔밥 강릉중앙점,강원도 강릉시 임영로 115 (성내동) 1층
본죽 원주무실점,강원도 원주시 시청로 96(무실동) 영신프라자 1층 109호
본죽 속초조양부영점,강원도 속초시 동해대로 4147 (조양동) A동 102호
본죽 원주우산점,강원도 원주시 우산로 50 1층(우산동)
본 죽&비빔밥 동해천곡점,강원도 동해시 한섬로 113-1 (천곡동) 1층
본 죽&비빔밥 원주점,강원도 원주시 원일로115번길 12 (일산동)
본도시락 동해시청점,"강원도 동해시 천곡1길 3 유공상가아파트 103호,104A호"
본죽 춘천한림대점,강원도 춘천시 삭주로 74 (교동)
본죽 홍천점,강원도 홍천군 홍천읍 번영로 39 나- 102호
본죽 강릉포남점,강원도 강릉시 하평길 28
본 죽&비빔밥 동해효가점,강원도 동해시 청운1길 52 (쇄운동) 104호
본죽 강릉교동점,강원도 강릉시 솔올로 51 (교동) 103호
본죽 양구점,강원도 양구군 양구읍 중앙길 15
본죽 춘천강대병원점,강원도 춘천시 백령로 152 (효자동) 2층
본죽 춘천석사에버빌점,강원도 춘천시 퇴계농공로 12 (석사동) 로열프라자 1층 103호
본죽 춘천명동점,강원도 춘천시 금강로 55-1 (조양동) 1층
본죽 철원점,강원도 철원군 동송읍 금학로 220-1
본죽 원주단구점,강원도 원주시 서원대로 406
본 죽&비빔밥 원주혁신점,강원도 원주시 혁신로 37-3 (반곡동) 스타타워
