매장명,매장주소
본 죽&비빔밥 산본학원가점[산본제일병원],"경기도 군포시 산본로 394 (산본동, 대림프라자) 105호"
본 죽&비빔밥 신영통반월점,"경기도 화성시 영통로61번길 6 (반월동, 제일프라자) 1층"
본 죽&비빔밥 광주회덕점,경기도 광주시 이배재로 150 (목현동) 109호 본죽&비빔밥 광주회덕점
본 죽&비빔밥 일산백마점,"경기도 고양시 일산동구 일산로 238 (마두동, 대일빌딩) 1층"
본 죽&비빔밥 병점역점,경기도 화성시 병점2로 12 (병점동) 1층
본설렁탕 파주운정역점,"경기도 파주시 책향기로 836 (와동동, 아름터타워) 111호"
본 죽&비빔밥 평택지제점,경기도 평택시 동삭1로22번길 19-6 (동삭동) 더원주차프라자 112호
본도시락 동탄반도체점,"경기도 화성시 삼성1로 160 (석우동, 디지털스테이션) 113호"
본 죽&비빔밥 양주광적점,경기도 양주시 광적면 가래비길 83 (가납리) 1층
본 죽&비빔밥 용인죽전사거리점,"경기도 용인시 수지구 대지로 43 (죽전동, 금강프라자) 113호"
본 죽&비빔밥 포천송우점,경기도 포천시 소흘읍 송우로 38 (송우리)
본 죽&비빔밥 안산그랑자이점,"경기도 안산시 상록구 해안로 776 (사동, 그랑시티타이 LIFE AVENUE) 102호"
본 죽&비빔밥 의정부시청점,"경기도 의정부시 시민로 39 (의정부동, 대정프라자) 1층"
본 죽&비빔밥 시흥배곧한라점,"경기도 시흥시 배곧1로 27-15 (배곧동, 한라비발디캠퍼스) 상가3동 104호"
본설렁탕 병점진안점,"경기도 화성시 효행로 1059 (진안동, 미래프라자) 109호"
본 죽&비빔밥 부천옥길점,"경기도 부천시 옥길로 121 (옥길동, 씨티프라자) 104호"
본 죽&비빔밥 의정부고산점,"경기도 의정부시 서광로 135 (산곡동, 센타프라자) 1층 103호"
본 죽&비빔밥 여주오학점,경기도 여주시 도예로 53 (현암동)
본설렁탕 수원아주대점,경기도 수원시 팔달구 중부대로 229 (우만동) GS타워 103호
본 죽&비빔밥 동탄능동점,"경기도 화성시 동탄지성로 133 (능동, 덕천프라자) 108호"
본 죽&비빔밥 시흥배곧점,"경기도 시흥시 서울대학로278번길 19-8 (배곧동, 새롬프라자) 115호"
본 죽&비빔밥 포천점,경기도 포천시 포천로 1577 (신읍동) 1층
본도시락 판교파미어스점,경기도 성남시 수정구 창업로 17 (시흥동) 지하1층 B105-2
본설렁탕 시흥시청점,"경기도 시흥시 시청로68번길 4 (장현동, 장현1 엔플러스빌) 106, 107호"
본 죽&비빔밥 성남신시청점,경기도 성남시 중원구 성남대로997번길 25-15 (여수동) 1층 본죽&비빔밥 성남신시청점
본 죽&비빔밥 부천중동역점,경기도 부천시 중동로 48 (송내동) 대우프라자 1층 109호
본 죽&비빔밥 일산가좌점,경기도 고양시 일산서구 가좌3로 7-1 (가좌동) 나동 102호
본 죽&비빔밥 성남도촌점,"경기도 성남시 중원구 도촌남로 27 (도촌동, 동강프라자) 111호"
본 죽&비빔밥 용인구갈점,"경기도 용인시 기흥구 관곡로 92 (구갈동, 신건프라자) 104호"
본 죽&비빔밥 용인신갈점,"경기도 용인시 기흥구 새천년로26번길 2 (신갈동, 센타프라자) 110호"
본도시락 안산시청점,경기도 안산시 단원구 원고잔로 17 (고잔동) 에비뉴 큐브시티 오피스텔 1층 상가
본 죽&비빔밥 시흥장곡점,경기도 시흥시 장현장곡로 2 (장곡동) 103호
본죽 용인서천점,"경기도 용인시 기흥구 서천로 121 (서천동, 원희캐슬 서천프라자) 112호"
본 죽&비빔밥 구리갈매점,경기도 구리시 갈매중앙로 70 (갈매동) 1층 120호
본 죽&비빔밥 분당정자네이버점,"경기도 성남시 분당구 정자일로 100 (정자동, 미켈란쉐르빌) 1층 본죽&비빔밥 분당정자네이버점"
본 죽&비빔밥 안양1번가점,경기도 안양시 만안구 안양로 276 (안양동) 1층
(취소)본 죽&비빔밥 남양주호평알프하임점,"경기도 남양주시 백봉로 32 (호평동, 두산 알프하임) A동 상가 107호"
본 죽&비빔밥 광교중흥점,"경기도 수원시 영통구 광교호수공원로 277 (원천동, 광교중흥에스클래스) B2 11호"
본 죽&비빔밥 곤지암점,경기도 광주시 곤지암읍 곤지암로 65 (곤지암리) 1층 본죽&비빔밥 곤지암점
본도시락 동탄2신도시점,경기도 화성시 동탄대로 599 (영천동) 지엘프라자 108호
본 죽&비빔밥 일산식사점,경기도 고양시 일산동구 위시티로 67 (식사동) 103호
