매장명,매장주소
본죽 김해삼계점,"경상남도 김해시 해반천로130번길 39 (삼계동, 코아루센텀 오피스텔)"
본 죽&비빔밥 마산호계점,"경상남도 창원시 마산회원구 내서읍 호원로 311 (호계리, 호계리치프라자) 105호"
본도시락 마산신포점,"경상남도 창원시 마산합포구 동서동3길 16(신포동1가, 신우희가로밀리온) 1층"
본도시락 진해석동점,"경남 창원시 진해구 냉천로 160 (자은동, 자은빌딩) 109호"
본 죽&비빔밥 김해율하2지구점,경상남도 김해시 율하로 488-1 (장유동) 110호
(취소)본도시락 진해석동점,"경상남도 창원시 진해구 냉천로 160 (자은동, 자은빌딩) 109호"
본 죽&비빔밥 양산삼성동점,경상남도 양산시 북정로 19 (북정동)
본 죽&비빔밥 진주한일병원점,경상남도 진주시 범골로 56 (충무공동) 102호
본설렁탕 창원시청점,"경상남도 창원시 성산구 용지로 159 (용호동, 대구은행빌딩) 107호"
본 죽&비빔밥 양산남부시장점,"경상남도 양산시 중앙로 136 (중부동, 서강한의원) 1층"
본설렁탕 양산증산점,"경상남도 양산시 물금읍 백호로 96 (가촌리, 미소프라자) 101호"
본 죽&비빔밥 거제아주점,경상남도 거제시 아주로 40 (아주동) 1층
본 죽&비빔밥 마산내서점,"경상남도 창원시 마산회원구 내서읍 삼계로 2 (삼계리, 삼계웰빙프라자빌딩) 112호"
본 죽&비빔밥 창원팔용점,"경상남도 창원시 의창구 팔용로 428 (팔용동, 드림피아) 114호"
본도시락 양산시청점,"경상남도 양산시 양산역로 85 (중부동, 시티타워) 1층 120호"
본도시락 양산서창점,"경상남도 양산시 서창로 65 (명동, 서광빌딩) 1층"
본 죽&비빔밥 삼천포점,경상남도 사천시 남일로 4 (동금동) 1층
본 죽&비빔밥 경남고성점,경상남도 고성군 고성읍 중앙로 60-1 (동외리) 1층
본 죽&비빔밥 마산산호점,경상남도 창원시 마산합포구 합포로 261 (산호동) 1층
본 죽&비빔밥 밀양점,경상남도 밀양시 석정로 37 (내일동) 1층
본 죽&비빔밥 진해자은점,"경상남도 창원시 진해구 냉천로 106 (자은동, 성원아파트) 1층"
본도시락 양산물금점,"경상남도 양산시 물금읍 삽량로 36 (범어리, 스타프라자 빌딩) 117호"
본도시락 삼천포점,"경상남도 사천시 벌리로 6 (벌리동, 신라장) 1층"
본 죽&비빔밥 통영죽림점,경남 통영시 광도면 죽림4로 52 (죽림리) 1층
