매장명,매장주소
본도시락 구미산동점,경상북도 구미시 산동읍 신당2로 47 (신당리) 아이엔씨 타워1층 101호
본도시락 경북영주점,"경상북도 영주시 대학로 324 (가흥동, 영주가흥더리브스위트엠) A-3호"
본 죽&비빔밥 구미순천향병원점,"경상북도 구미시 1공단로 182 (공단동, 금오빌딩) 104호"
본 죽&비빔밥 경북영덕점,경상북도 영덕군 영덕읍 덕곡길 115 (남석리)
본 죽&비빔밥 포항대이점,경상북도 포항시 남구 대이로 97 (대잠동) 1층
본 죽&비빔밥 포항연일점,경상북도 포항시 남구 연일읍 연일로159번길 12 (생지리)
본 죽&비빔밥 경산진량점,경상북도 경산시 진량읍 공단로 503 (신상리) 1층
본 죽&비빔밥 구미도량봉곡점,경상북도 구미시 야은로 269 (봉곡동) 1층
본 죽&비빔밥 구미선산점,경상북도 구미시 선산읍 남문로 30-1 (동부리)
본 죽&비빔밥 포항법원점,경상북도 포항시 북구 법원로 152 (양덕동) 대왕프라자 105호
본 죽&비빔밥 구미신평비산점,"경상북도 구미시 신비로 95 (공단동, 강변파라디아) 1층 106호"
본 죽&비빔밥 문경시청점,"경상북도 문경시 매봉4길 29 (모전동, 모전주공아파트) 105호"
본 죽&비빔밥 경산정평점,경상북도 경산시 대학로 52 (정평동) 우방펜션 112동 5호
본 죽&비빔밥 영천동부점,경상북도 영천시 동부로 43 (야사동) 1층
본도시락 경산하양점,경북 경산시 하양읍 금락리 4-59 1층
본 죽&비빔밥 안동병원점,"경북 안동시 앙실로 25 (수상동, 안동 코오롱하늘채) 104동 106호"
본죽 포항지곡점,경상북도 포항시 남구 지곡로 257 (지곡동) 101동 1층 114-1호
본도시락 경북상주점,경상북도 상주시 중앙로 177 (서문동) 1층
본 죽&비빔밥 포항초곡점,경상북도 포항시 북구 흥해읍 초곡지구로58번길 38-3
본 죽&비빔밥 상주점,경상북도 상주시 상산로 246 (남성동)
본도시락 경주중앙점,경상북도 경주시 태종로791번길 18 (황오동)
본도시락 경산중앙점,경상북도 경산시 경안로33길 2 (중방동) 1층
본죽 영주역점,경상북도 영주시 선비로 72 (휴천동)
본도시락 경북도청점,경상북도 안동시 풍천면 풍요5길 30-9 청우프라자 104호
본도시락 경산영남대점,경상북도 경산시 압량면 화랑로 304
본 죽&비빔밥 구미산동점,경상북도 구미시 산동면 신당1로1길 17-10 103호
본도시락 구미인동점,경상북도 구미시 인동북길 7 (인의동) 1층
본 죽&비빔밥 영주가흥점,경상북도 영주시 대학로 226 (가흥동)
본 죽&비빔밥 대구대학교점,경상북도 경산시 진량읍 대구대로 244 1층
본도시락 포항대이점,경상북도 포항시 남구 대이로111번길 5 (대잠동) 씨앤씨빌딩 102호
본 죽&비빔밥 경산중산점,경상북도 경산시 펜타힐즈2로 59 (중산동) 중산S테라스 1층 105호
본죽 경주용황점,"경상북도 경주시 용황로7길 8 (용강동, 협성휴포레1차) 406호"
본 죽&비빔밥 경북도청점,경상북도 안동시 풍천면 수호로 65 1층 2호
본죽 울진점,경상북도 울진군 울진읍 울진중앙로 90
본도시락 경주시청점,경상북도 경주시 양정로 273 (동천동)
본죽 김천신음점,경상북도 김천시 시청로 40 (신음동) 현대아파트 상가 107호
본도시락 김천혁신점,경상북도 김천시 혁신3로 5 137호
본죽 포항오천점,경상북도 포항시 남구 오천읍 충무로 24
본죽 경주안강점,경상북도 경주시 안강읍 비화동길 4-1
본죽 경북예천점,경상북도 예천군 예천읍 중앙로 34
본 죽&비빔밥 포항문덕원동점,경상북도 포항시 남구 오천읍 냉천로320번길 51-6
본 죽&비빔밥 포항효자점,"경상북도 포항시 남구 효성로 12-3 (효자동, 새바빌딩) 1층"
본 죽&비빔밥 경산하양점,경상북도 경산시 하양읍 하양로 56
본죽 경북의성점,경상북도 의성군 의성읍 군청길 3 1층
본도시락 경북영천점,경상북도 영천시 호국로 36-1 (야사동)
본 죽&비빔밥 포항세명병원점,경상북도 포항시 남구 상공로 132 (대도동)
본 죽&비빔밥 김천혁신점,경상북도 김천시 혁신3로 19
본 죽&비빔밥 구미옥계점,경상북도 구미시 옥계북로 17 (옥계동)
본죽 경산터미널점,경상북도 경산시 경안로 196 경산시외버스정류장
본죽 경북청도점,경상북도 청도군 청도읍 청화로 88
본죽 포항죽도오거리점,"경상북도 포항시 북구 중흥로 319 (죽도동, 굿모닝메디칼센터) 102호"
본죽 경북성주점,경상북도 성주군 성주읍 시장길 10-3
본죽 고령점,경상북도 고령군 대가야읍 중앙로 17
본도시락 포항양덕점,경상북도 포항시 북구 장량로 146 (양덕동) 1층
본죽 경산신대부적점,경상북도 경산시 압량면 압독3로 27
본죽 구미인동점,경상북도 구미시 인동가산로 14 (진평동) 메가박스 1층 108호
본 죽&비빔밥 안동강남점,경상북도 안동시 강남5길 5 1층 5호
본 죽&비빔밥 포항시외버스터미널점,경상북도 포항시 북구 중흥로 119 (죽도동)
본 죽&비빔밥 경산사동점,경상북도 경산시 백자로10길 11 경산사동사랑으로부영6차 상가2동 203호
본죽 칠곡석적점,경상북도 칠곡군 석적읍 유학로 3 (중리)
본죽 포항선린점,경상북도 포항시 북구 대신로 40-2 (대신동)
본죽 경북군위점,경상북도 군위군 군위읍 동서길 39
본도시락 구미옥계점,경상북도 구미시 옥계북로 74 (옥계동)
본 죽&비빔밥 구미역점,경상북도 구미시 구미중앙로 91 1층
본죽 포항흥해점,경상북도 포항시 북구 흥해읍 중성로 38
본죽 안동점,경상북도 안동시 광명로 178 (옥동) 옥동빌딩 108호
본도시락 구미역점,경상북도 구미시 구미중앙로 132 (원평동)
본도시락 구미형곡송정점,경상북도 구미시 신시로 60 (형곡동)
본 죽&비빔밥 구미형곡송정점,경상북도 구미시 신시로 68-3
본죽 칠곡북삼점,경상북도 칠곡군 북삼읍 금오대로 284
본죽 구미상모점,경상북도 구미시 상사서로 77 (상모동) 우주빌딩 1층
본도시락 경북안동점,경상북도 안동시 경북대로 434 (옥동)
본죽 포항창포점,경상북도 포항시 북구 대곡로 50 1층
본 죽&비빔밥 포항양덕점,경상북도 포항시 북구 양덕로 47
본죽 포항상원점,경상북도 포항시 북구 중앙로 269 (상원동)
본죽 경북왜관점,경상북도 칠곡군 왜관읍 중앙로 189-1
본죽 경북영천점,경상북도 영천시 완산동 1061-8
본죽 경북영주점,경상북도 영주시 중앙로 86-5 (하망동)
본죽 안동성소병원점,경상북도 안동시 서동문로 106-1 (광석동)
본죽 점촌점,경상북도 문경시 중앙8길 6 (점촌동)
본죽 김천역점,경상북도 김천시 김천로 105 (평화동)
본죽 구미구평점,경상북도 구미시 인동 36길 6 (진평동) 성원빌딩 101호
본죽 구미원호문성점,경상북도 구미시 고아읍 문장로 192 101호
본죽 경주중앙로점,경상북도 경주시 중앙로 27-2 (노동동)
본죽 경주황성점,경상북도 경주시 황성로27번길 3 (황성동)
본죽 경산계양점,경상북도 경산시 원효로 158 (계양동)
