매장명,매장주소
본 죽&비빔밥 광주금남로점,광주광역시 동구 독립로 258 (금남로5가) 1층
본 죽&비빔밥 광주돌고개역점,"광주광역시 남구 구성로8번길 6 (월산동, 반도유보라 더 퍼스트) B동 204호"
본도시락 광주일곡오치점,"광주광역시 북구 설죽로 416 (삼각동, 신일곡골드클래스) 상가동 1층"
본 죽&비빔밥 광주월곡점,광주광역시 광산구 사암로340번안길 20 (월곡동) 1층
본도시락 광주운암점,광주광역시 북구 북문대로 158 (운암동) 1층
본도시락 광주첨단신용점,광주광역시 북구 첨단연신로91번길 30 (신용동) 1층
본도시락 광주수완점,광주광역시 광산구 수완로 6 (신가동) 센트럴병원 1층
본 죽&비빔밥 광주금호점,광주광역시 서구 금화로 91 (금호동) 1층
본도시락 광주하남월곡점,광주광역시 광산구 사암로 339 (월곡동) 1층
본도시락 광주대점,광주광역시 남구 효덕로 276 (진월동) 1층
본 죽&비빔밥 광주두암말바우점,광주광역시 북구 동문대로 128 (두암동) 101호
본도시락 광주첨단점,"광주광역시 광산구 앰코로 35 (쌍암동, 폭스존) 1층"
본 죽&비빔밥 광주백운대성초교점,광주 남구 중앙로 80 (서동) 101호
본 죽&비빔밥 광주백운고가점,"광주 남구 회재로 1257 (주월동, 예림장식) 1층"
본 죽&비빔밥 광주연제점,광주 북구 양일로 58 (연제동) 신아빌딩 104호
본도시락 광주금호점,"광주 서구 화개중앙로 55 (금호동, 화개빌딩) 1층"
본 죽&비빔밥 광주봉선점,"광주 남구 봉선로 164 (봉선동, 삼환빌딩) 1층"
본 죽&비빔밥 광주문흥점,광주광역시 북구 서하로 375 (문흥동) 1층
본 죽&비빔밥 광주상무점,"광주광역시 서구 치평로 80 (치평동, 골든타운) 111호"
본죽 광주운암점,광주광역시 북구 북문대로 154 (운암동)
본 죽&비빔밥 광주효천1지구점,광주광역시 남구 효천2로가길 9 (임암동)
본 죽&비빔밥 광주양산점,광주광역시 북구 양산로 2 (양산동) 1층
본 죽&비빔밥 광주운남점,광주광역시 광산구 하남대로 278-1 (운남동)
본 죽&비빔밥 광주충장로점,광주광역시 동구 충장로 77-5 (충장로3가)
본 죽&비빔밥 광주일곡점,광주광역시 북구 설죽로 505-9 (일곡동) 1층 도로시헤어
본죽 광주첨단2지구점,광주광역시 북구 첨단연신로91번길 10 (신용동)
본 죽&비빔밥 광주두암점,광주광역시 동구 밤실로 154 (산수동)
본 죽&비빔밥 광주첨단점,광주광역시 광산구 첨단중앙로170번길 64 (쌍암동)
본죽 광주선운지구점,"광주광역시 광산구 선운중앙로 43 (선암동, 광주선운지구EGthe12단지)"
본 죽&비빔밥 광주첨단월계점,광주광역시 광산구 월계로 187 (월계동)
본 죽&비빔밥 광주하남점,"광주광역시 광산구 풍영철길로 15 (우산동, 콜럼버스월드) 2층 213-2호"
본죽 광주신창점,광주광역시 광산구 신창로 84 (신창동)
본도시락 광주조선대점,광주광역시 동구 필문대로 265 (동명동)
본죽 광주쌍촌점,광주광역시 서구 상일로 56 (쌍촌동)
본죽 광주광천점,광주광역시 서구 죽봉대로 95 (광천동)
본 죽&비빔밥 광주풍암점,광주광역시 서구 풍암1로21번길 3-24 (풍암동)
본도시락 광주송정점,"광주광역시 광산구 상무대로 242 (송정동) ,102호"
본죽 광주화정힐스테이트점,광주광역시 서구 화정로 247
본죽 광주신가점,광주광역시 광산구 수등로 248 1층
본죽 광주풍암운리점,광주광역시 서구 풍암신흥로 29 (풍암동)
본죽 광주운암고가점,광주광역시 북구 북문대로 19
본도시락 광주화정역점,광주광역시 서구 상무대로 1055 (화정동)
본죽 광주염주점,광주광역시 서구 월드컵4강로 77 (화정동)
본 죽&비빔밥 광주학동점,광주광역시 동구 제봉로 33 1층(학동)
본도시락 광주전남대점,광주광역시 북구 서방로 11 (중흥동)
본죽 광주수완장덕점,광주광역시 광산구 풍영로 275 (장덕동)
본 죽&비빔밥 광주주월점,광주광역시 남구 대남대로 139 (주월동) 1층
본죽 광주진월점,광주광역시 남구 서문대로 683번지 (진월동)
본 죽&비빔밥 광주노대점,광주광역시 남구 효우로 79-1 스카이빌딩 102
본도시락 광주상무점,광주광역시 서구 운천로 223 (치평동) 상무빌딩(아이퍼스트주차빌딩) 101호
본죽 광주하남산정점,광주광역시 광산구 손재로110번길 21
본 죽&비빔밥 광주수완점,광주광역시 광산구 임방울대로 335 102호
본죽 광주용봉점,광주광역시 북구 설죽로 221 (용봉동)
본죽 광주전남대후문점,광주광역시 북구 우치로 80 (용봉동)
본죽 광주동림점,광주광역시 서구 하남대로 692 (동천동)
본죽 광주매곡점,광주광역시 북구 설죽로315번길 42 (매곡동)
본죽 광주증심사입구역점,광주광역시 동구 남문로 677 (학동)
본죽 광주송정점,광주광역시 광산구 내상로 21 (송정동)
