매장명,매장주소
본 죽&비빔밥 대구침산네거리점,대구광역시 북구 침산로 154 (침산동)
본 죽&비빔밥 대구구병원점,대구광역시 달서구 달구벌대로 1600 (감삼동)
본 죽&비빔밥 대구목련시장점,대구광역시 수성구 용학로 198 (지산동)
본 죽&비빔밥 대구수성교점,"대구광역시 수성구 달구벌대로 2315 (수성동4가, 수성 롯데캐슬) 114호"
본도시락 대구칠곡3지구점,대구광역시 북구 동암로 128-12 (구암동) 1층 101호
본도시락 대구율하점,대구광역시 동구 율하동 1159 1층
본설렁탕 대구칠곡점,대구광역시 북구 동천로23길 30-23 (동천동) 108호
본설렁탕 수성네거리점,대구광역시 수성구 들안로64길 15 (수성동3가) 106호
본 죽&비빔밥 대구범물동아백화점점,대구광역시 수성구 용학로 293 (지산동) 1층
본 죽&비빔밥 대구신매시장점,"대구광역시 수성구 신매로 91 (신매동, 시지삼주한라협화타운) 112동 106호"
본도시락 대구현풍점,"대구광역시 달성군 유가읍 테크노중앙대로 254 (봉리, 하이젠스타) 107호"
본 죽&비빔밥 대구서부정류장점,대구광역시 달서구 월배로 457 (송현동) 1층
본도시락 대구만촌점,"대구광역시 수성구 달구벌대로 2690 (만촌동, 만촌화성파크드림2차) 상가105호"
본도시락 대구다사점,대구 달성군 다사읍 매곡리 1521-12 1층
본도시락 대구서부정류장점,대구광역시 달서구 학산로 245 (송현동) 1층
본 죽&비빔밥 대구연경점,대구광역시 북구 동화천로 237 (연경동) 1층
본 죽&비빔밥 대구서구청점,대구광역시 서구 국채보상로 248 (평리동) 1층
본 죽&비빔밥 대구칠호광장점,대구광역시 서구 달구벌대로 1727-1 (내당동) 2층
본 죽&비빔밥 대구율하점,"대구 동구 안심로16길 47 (율하동, 율하동 타임스퀘어) 114호"
본도시락 대구시지점,대구광역시 수성구 신매로 32 (신매동) 1층
본도시락 대구범물지산점,대구광역시 수성구 지범로39길 11-10 (범물동) 1층
본도시락 동대구역점,대구광역시 동구 효신로 69 (신천동)
본 죽&비빔밥 대구동성로중앙점,대구광역시 중구 중앙대로 388 (동성로3가)
본 죽&비빔밥 대구사월점,"대구광역시 수성구 달구벌대로 3304 (신매동, 사월화성파크드림) 상가110동 2호"
본 죽&비빔밥 대구매천점,대구광역시 북구 학정로 50 (태전동)
본 죽&비빔밥 대구알파시티점,"대구광역시 수성구 알파시티2로 27 (시지동, 수성메트로)"
본 죽&비빔밥 대구구지점,대구광역시 달성군 구지면 과학마을로 48
본죽 대구세천점,대구광역시 달성군 다사읍 세천로 160 (북죽곡엠코타운더솔레뉴) 301동 101호
