매장명,매장주소
본 죽&비빔밥 대전관저더샵점,대전광역시 서구 관저로 24 (관저동) 1층
본 죽&비빔밥 대전송강점,대전광역시 유성구 구즉로 62 (송강동) 1층
본 죽&비빔밥 대전유성장대동점,대전광역시 유성구 문화원로 1 (장대동) 1층
본 죽&비빔밥 대전학하점,대전광역시 유성구 학하중앙로59번길 5-13 (덕명동) 1층
본 죽&비빔밥 대전가오동점,"대전광역시 동구 은어송로 56 (가오동, 1) 101호"
본 죽&비빔밥 대전노은3지구점,대전광역시 유성구 지족동로 152 (지족동) 코오롱타워 103호
본 죽&비빔밥 대전유성온천역점,"대전광역시 유성구 계룡로 92 (봉명동, 유성CJ나인파크) 104호"
본 죽&비빔밥 대전월평이마트점,"대전광역시 서구 월평로 40 (월평동, 월드프라자) 101호"
본 죽&비빔밥 대전목동점,대전광역시 중구 목중로 47 (목동) 1층
본 죽&비빔밥 대전신탄점,"대전광역시 대덕구 대덕대로 1555 (석봉동, 금강엑슬루타워) 122호"
본 죽&비빔밥 대전용문점,대전광역시 서구 계룡로 625 (탄방동) 1층
본 죽&비빔밥 대전성모병원점,"대전 중구 대흥로 64 (대흥동, 성모병원) 1층"
본 죽&비빔밥 대전하기동점,대전광역시 유성구 송림로 52 (하기동) 105호
본 죽&비빔밥 대전송촌점,"대전광역시 대덕구 동춘당로126번길 2 (송촌동, 아이프라자) 1층"
본 죽&비빔밥 대전역점,대전광역시 동구 대전로 816 (정동) 1층
본 죽&비빔밥 충남대병원점,"대전광역시 중구 문화로 282 (대사동, 충남대학교병원) B1층 구내식당"
본 죽&비빔밥 대전부사점,대전광역시 중구 보문로 49 (문창동)
본 죽&비빔밥 대전월평점,대전광역시 서구 월평북로 83 (월평동)
본 죽&비빔밥 대전건양대병원점,"대전광역시 서구 관저동로 162 (관저동, 건양프라자)"
본도시락 대전관저점,대전광역시 서구 구봉로 121 (관저동) 1층 105호 (하나로프라자)
본 죽&비빔밥 대전도룡점,대전광역시 유성구 가정로 306 (도룡동)
본 죽&비빔밥 서대전점,"대전광역시 중구 계백로 1717 (오류동, 고려빌딩)"
본도시락 서대전역점,"대전광역시 중구 오류로 18 ,1층(오류동)"
본죽 대전관저점,대전광역시 서구 관저중로96번길 12 (관저동) 1층
본 죽&비빔밥 대전법동점,대전광역시 대덕구 계족산로17번길 115 (법동)
본도시락 대전월평선사점,대전광역시 서구 대덕대로 319 (월평동) 1층 117호
본죽 도마사거리점,대전광역시 서구 도산로 42 (도마동) 1층
