매장명,매장주소
본 죽&비빔밥 해운대백병원점,"부산광역시 해운대구 좌동순환로 252 (좌동, 대원아파트) 2층 203호"
본 죽&비빔밥 부산명지CGV점,"부산광역시 강서구 명지국제8로10번길 46 (명지동, 플러스존1) 119호"
본 죽&비빔밥 구서쌍용예가점,부산광역시 금정구 구서로 26 (구서동) 본죽&비빔밥 구서쌍용예가점
본도시락 부산장림점,부산광역시 사하구 장림번영로 6 (장림동) 1층
본 죽&비빔밥 부산명륜동점,부산광역시 동래구 명륜로 196 (명륜동) 1층
본 죽&비빔밥 부산대연점,"부산광역시 남구 수영로 248 (대연동, 메트로타워) 102호"
본 죽&비빔밥 부산대점,부산광역시 금정구 금강로 265 (장전동) 본 죽&비빔밥 부산대점
본설렁탕 부산하단점,부산광역시 사하구 승학로 2 (당리동) 청기와맨션 1층 107~108호
본도시락 부산국제도시점,부산광역시 강서구 명지국제5로148번길 3 (명지동) 102호
본 죽&비빔밥 부산개금점,부산광역시 부산진구 엄광로 34 (개금동) 본죽&비빔밥 부산개금점
본설렁탕 부산범일점,"부산광역시 동구 조방로 14 (범일동, 동일타워) 204호"
본 죽&비빔밥 부산부곡시장점,부산광역시 금정구 부곡로 115 (부곡동) 본죽&비빔밥 부산부곡시장점
본 죽&비빔밥 센텀시티역점,"부산광역시 해운대구 센텀동로 26 (우동, 한화꿈에그린센텀) A동 101B-1호"
본 죽&비빔밥 부산연산점,"부산광역시 연제구 반송로 33 (연산동, 샤르망라이프) 102호"
본 죽&비빔밥 부산범일점,"부산광역시 동구 조방로 14 (범일동, 동일타워) 1층 제 판매2-104호"
본도시락 부산연산점,"부산광역시 연제구 중앙대로 1125 (연산동, C T 타워) 105호"
본 죽&비빔밥 부산수영점,부산 수영구 광안동 98-1 삼정코아더시티오피스텔 1층
본도시락 부산동래점,부산 동래구 충렬대로 184 (명륜동) 1층
본 죽&비빔밥 부산일광신도시점,"부산 기장군 일광면 해빛2로 24 (삼성리, 일광 신도시 비스타 동원1차) 301동 상가 117호"
본도시락 부산안락점,"부산광역시 동래구 충렬대로428번길 30 (안락동, 보해이브) 101호"
본도시락 부산범일점,"부산광역시 동구 자성로133번길 6 (범일동, 진흥 마제스타워 범일) 104동 2101호"
본 죽&비빔밥 해운대마린시티점,"부산광역시 해운대구 마린시티2로 47 (우동, 트럼프월드마린아파트) 제C동 105호"
본 죽&비빔밥 부산초량점,부산 동구 초량동 42-18 1층
본 죽&비빔밥 부산안락점,부산광역시 동래구 충렬대로 354 (안락동)
본 죽&비빔밥 부산남구청점,부산광역시 남구 못골로 42 (대연동) 1층
본 죽&비빔밥 부산화명동점,"부산광역시 북구 화명신도시로 132 (화명동, 위너스타워) 101호"
본죽 부산신호점,부산광역시 강서구 신호산단2로 21 (신호동) 허브원 109호
본죽 부산기장점,부산광역시 기장군 기장읍 읍내로 103 (이랜드쥬니어) 1층
본설렁탕 부산화명점,부산광역시 북구 금곡대로303번길 36 (화명동) 104호
본도시락 부산사상점,"부산광역시 사상구 운산로 42 (괘법동, 한신1차아파트)"
본도시락 부산양정점,부산광역시 부산진구 연수로 4 (양정동)
본죽 부산정관모전점,부산광역시 기장군 정관읍 정관로 385
본 죽&비빔밥 부산토곡점,"부산광역시 연제구 과정로 169 (연산동, 금광타워) 102호"
본 죽&비빔밥 부산법조타운점,부산광역시 연제구 법원남로10번길 7 (거제동)
본 죽&비빔밥 부산재송점,"부산광역시 해운대구 재반로 123 (재송동, 상록캐스빌) 102호"
본죽 부산신평가락타운점,부산광역시 사하구 하신번영로 209 (하단동)
본죽 부산진역점,부산광역시 동구 좌천남로 25 (좌천동)
본죽 부산남천동점,"부산광역시 수영구 수영로384번길 39,1층(남천동) 1층"
본 죽&비빔밥 동아대병원점,부산광역시 서구 대신공원로 14 (동대신동3가) 1층
본도시락 부산부전점,부산광역시 부산진구 새싹로 37 (부전동)
본 죽&비빔밥 부산엄궁점,부산광역시 사상구 엄궁북로 24 (엄궁동) 1층 (구-올드팝)
본도시락 부산중앙역점,부산광역시 중구 해관로 71-2 (중앙동4가) 1층
본죽 부산금련산점,부산광역시 수영구 남천동로108번길 31 (남천동)
본죽 해운대중동점,부산광역시 해운대구 중동1로 17 (중동) 1층
본죽 부산주례점,부산광역시 사상구 가야대로 288 창조센츄리아파트 상가1층 103호
본 죽&비빔밥 부산오륙도SK점,"부산광역시 남구 오륙도로 85 (용호동, 오륙도에스케이뷰아파트) 오륙도SK뷰 단지내상가 201동 105호"
본 죽&비빔밥 부산사하구청점,부산광역시 사하구 낙동대로 398 (당리동)
본 죽&비빔밥 부산동래점,부산광역시 동래구 충렬대로 211 (명륜동)
본도시락 부산부경대점,"부산광역시 수영구 황령대로473번길 15 (남천동, 남천엑슬루타워) 108호"
본죽 부산명지오션시티점,부산광역시 강서구 명지오션시티4로 75 (명지동) 서린프라자 102호
본도시락 부산대연점,"부산광역시 남구 수영로 237 (대연동, 대연메디타워) 101호"
본죽 부산대학병원점,부산광역시 서구 구덕로 204 (부민동1가) 1층
본죽 부산서면점,부산광역시 부산진구 동천로 74 (전포동) 2층
본죽 부산고신대병원점,부산광역시 서구 감천로 271 정림비치타운상가 106호
본 죽&비빔밥 부산부경대경성대점,부산광역시 남구 용소로 46-1 (대연동)
본죽 부산용호점,부산광역시 남구 분포로 113 LG매트로시티 1005동 110호
본도시락 부산해운대장산역점,"부산광역시 해운대구 세실로 30 (좌동, 경동지플러스) 1층 104호"
본 죽&비빔밥 부산명지국제중앙점,부산광역시 강서구 명지국제8로 240 (명지동) 국제메디칼빌딩103호
본도시락 부산정관점,부산광역시 기장군 정관읍 정관5로 12 (동원로얄듀크2차아파트) 상가228동 137호
본죽 부산감천동점,부산광역시 사하구 감천로 47 (감천동)
본도시락 부산엄궁점,"부산광역시 사상구 엄궁북로 40 (엄궁동, 엄궁롯데캐슬리버) 1상가 510동 101호"
본죽 부산시청점,"부산광역시 연제구 중앙대로 1032, 1층(연산동)"
본 죽&비빔밥 부산괴정점,부산광역시 사하구 낙동대로 231 (괴정동)
본죽 부산초읍점,부산광역시 부산진구 새싹로 183 세동한신아파트 정문
본도시락 부산수영점,"부산광역시 수영구 수영로 649, 1층(광안동)"
본도시락 부산하단점,"부산광역시 사하구 승학로2번길 1, 1층10호(당리동, 하단시장)"
본도시락 부산개금점,"부산광역시 부산진구 복지로 70 (개금동, 개금현대I아파트) 221동 101호"
본도시락 부산부민점,부산광역시 서구 구덕로214번길 9
본죽 부산남포점,부산광역시 중구 비프광장로 39 (남포동5가)
본죽 부산구남점,부산광역시 북구 백양대로 1028 (구포동) 거림맥스랜드빌딩 104호
본도시락 부산법조타운점,"부산광역시 연제구 법원로32번길 10 (거제동, 협성프라자빌딩) 1층 104호"
본도시락 부산화명점,"부산광역시 북구 화명대로 68 (화명동, 이편한세상화명힐스) 208호"
