매장명,매장주소
본 죽&비빔밥 전농뉴타운점,서울특별시 동대문구 답십리로 77 (전농동) 1층
본 죽&비빔밥 가산디지털점,"서울특별시 금천구 가산디지털1로 186 (가산동, 제이플라츠) 104-2호"
본 죽&비빔밥 회현역점,"서울특별시 중구 퇴계로 72 (회현동1가, 리더스뷰남산) 115호"
본 죽&비빔밥 남성역점,"서울특별시 동작구 사당로 215 (사당동, 서림빌딩) 103호"
본설렁탕 구로디지털단지점,"서울특별시 구로구 디지털로31길 53 (구로동, 이앤씨벤처드림타워5차) 104호"
본도시락 청담점,서울특별시 강남구 학동로101길 7(청담동) 2층
본 죽&비빔밥 논현점,"서울특별시 강남구 학동로4길 15 (논현동, 동화상가) 106호"
본 죽&비빔밥 매봉역점,서울특별시 강남구 남부순환로378길 12 (도곡동)
본도시락 중곡점,서울특별시 중랑구 면목로 231-1 (면목동) 1층
본 죽&비빔밥 보라매역점,서울특별시 동작구 여의대방로24가길 8 (대방동) 1층
본도시락 수락산역점,"서울특별시 노원구 동일로 1701 (상계동, 희성오피앙) 1층"
본도시락 마포역점,서울특별시 마포구 토정로 317 (용강동) 1층
본 죽&비빔밥 숭실대역점,서울특별시 동작구 상도로 351 (상도동) 1층
본설렁탕 위례점,서울특별시 송파구 장지동 896 위례중앙푸르지오2단지 제상가동 제1층 제124호
본도시락 문정법조타운점,"서울특별시 송파구 충민로 5 (문정동, 송파한화오벨리스크) 119호"
(취소)본 죽&비빔밥 구의시장점,서울특별시 광진구 광나루로 532 (구의동) 1층
본 죽&비빔밥 오목교역점,서울특별시 양천구 신목로 83 (신정동) 1층
본 죽&비빔밥 종로르메이에르점,"서울특별시 종로구 종로 19 (종로1가, 르메이에르종로타운1) B1층"
본 죽&비빔밥 행당동점,서울특별시 성동구 행당로 101 (행당동) 1층
본설렁탕 문래점,"서울특별시 영등포구 선유로13길 25 (문래동6가, 에이스하이테크시티2) 117호"
본 죽&비빔밥 응암오거리점,서울특별시 은평구 가좌로 245-1 (응암동) 1층
본 죽&비빔밥 충무로역점,서울특별시 중구 서애로1길 11 (충무로5가) 충무로헤센스마트아파트상가 1층 B125호
본도시락 압구정역점,서울특별시 강남구 압구정로18길 12 (신사동) 1층
본도시락 홍대점,"서울특별시 마포구 홍익로 10 (서교동, 서교푸르지오) B107호"
본도시락 길동점,"서울특별시 강동구 진황도로 123 (길동, 광남캐스빌아파트201) 1층"
본도시락 왕십리점,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐) 221동 1층 185호"
본 죽&비빔밥 용산센트럴점,"서울특별시 용산구 한강대로 95 (한강로2가, 래미안용산 더 센트럴) 지하 148호"
본도시락 마곡점,"서울특별시 강서구 강서로 411 (마곡동, 마곡에비앙) 108호"
본도시락 오목교점,"서울특별시 양천구 목동서로 285 (신정동, 황금 프라자) 109호"
본 죽&비빔밥 상일2동점,"서울특별시 강동구 상일로6길 39 (상일동, 강동타워) 1층"
본 죽&비빔밥 신림역점,서울특별시 관악구 신림로 309 (신림동) 1층
본설렁탕 상암DMC점,"서울특별시 마포구 월드컵북로54길 17 (상암동, 사보이시티디엠씨) B113호"
본 죽&비빔밥 길음뉴타운점,"서울특별시 성북구 길음로 74 (길음동, 길음뉴타운) 길음뉴타운상가 2동 108호"
본도시락 이수점,서울특별시 서초구 동광로 8 (방배동) 1층
본도시락 명동점,"서울특별시 중구 퇴계로20길 2 (남산동2가, 퍼시픽호텔) 1층"
본도시락 도곡동점,서울특별시 강남구 논현로34길 21 (도곡동) 1층 102호
본도시락 가산점,"서울특별시 금천구 벚꽃로56길 182 (가산동, 램킨푸르지오시티) 106호"
본도시락 방화점,서울특별시 강서구 양천로 85 (방화동) 1층
본도시락 신림점,서울특별시 관악구 신림동길 31-1 (신림동) 1층
본 죽&비빔밥 하계점,"서울특별시 노원구 노원로 248 (하계동, 삼정 이오니아) 106호"
본 죽&비빔밥 송정역점,서울특별시 강서구 공항대로 36 (공항동) 101호
본도시락 신사역점,서울특별시 강남구 압구정로2길 35 (신사동) 1층
본도시락 종로구청점,"서울특별시 종로구 삼봉로 81 (수송동, 두산위브파빌리온) 1층 115호"
본 죽&비빔밥 신반포점,"서울특별시 서초구 반포대로 287 (반포동, 래미안퍼스티지 중심상가) 1층"
본 죽&비빔밥 녹번점,서울특별시 은평구 은평로 240 (응암동) 힐스테이트 녹번역 근린생활시설 218호
본 죽&비빔밥 북아현점,"서울특별시 서대문구 신촌로35길 10 (북아현동, 이편한세상신촌) 402동 B401호"
본도시락 상일점,서울특별시 강동구 상일로12길 99 (상일동) 리엔프라자 1층101호
본 죽&비빔밥 연신갈현점,서울특별시 은평구 통일로83길 6-4 (갈현동) 1층
본 죽&비빔밥 홍은1동점,서울특별시 서대문구 홍은중앙로 103 (홍은동) 1층
본 죽&비빔밥 학동역점,"서울특별시 강남구 학동로 165 (논현동, 마일스디오빌) 1층"
본 죽&비빔밥 개봉점,서울특별시 구로구 남부순환로97길 11 (개봉동) 1층
본 죽&비빔밥 구로디지털역점,서울특별시 구로구 시흥대로 557 (구로동) 1층
본 죽&비빔밥 구의점,"서울특별시 광진구 자양로 113 (자양동, 구의 현대 하이엘) 102호"
본 죽&비빔밥 외대점,서울특별시 동대문구 이문로 100 (이문동) 1층
본 죽&비빔밥 서초내곡점,"서울특별시 서초구 청계산로9길 70 (내곡동, 내곡 SH 플라자) 102호"
본설렁탕 문정역점,"서울특별시 송파구 법원로 114 (문정동, 엠스테이트) B163호"
본 죽&비빔밥 등촌공항대로점,서울특별시 강서구 공항대로61길 14 (염창동) 1층
본설렁탕 성수역점,"서울특별시 성동구 아차산로 126 (성수동2가, 더리브 세종타워) 107호"
