매장명,매장주소
본 죽&비빔밥 세종소담점,"세종특별자치시 시청대로 236 (소담동, 새샘마을3단지) B상가 119호"
본 죽&비빔밥 세종나성점,"세종특별자치시 한누리대로 284 (나성동, 마들렌) 1층 106호"
본 죽&비빔밥 세종반곡점,"세종특별자치시 한누리대로 1820 (반곡동, 왕관빌딩) 103호"
본도시락 세종정부청사점,"세종특별자치시 도움8로 91 (어진동, 세종마치) 116호"
본도시락 세종조치원점,세종특별자치시 조치원읍 대첩로 38
본죽 세종새롬점,"세종특별자치시 새롬중앙로 51 (새롬동, 에스월드빌딩) 103호"
본죽 세종종촌점,"세종특별자치시 도움3로 105-5 (종촌동, 종촌중앙프라자) 종촌중앙프라자 104호"
본도시락 세종도담점,"세종특별자치시 보듬3로 6 (도담동, 라온프라이빗시티Ⅱ) 109호"
본죽 세종첫마을점,"세종특별자치시 노을3로 19 (한솔동, 첫마을2단지) 첫마을2단지 201동상가 129호"
본죽 세종아름점,"세종특별자치시 보듬3로 95 (아름동, 해피라움3)"
본 죽&비빔밥 세종정부청사점,"세종특별자치시 절재로 194 (어진동, 중앙타운) 112호"
본도시락 세종첫마을점,"세종특별자치시 노을3로 25 (한솔동, 세종프라자) 세종프라자 101호"
본죽 세종다정점,"세종특별자치시 다정서로 60 (다정동, 가온마을5단지) 상가2동 202호"
본죽 세종고운호반점,"세종특별자치시 고운서길 14 (고운동, 금화빌딩) 1층 101호"
본죽 세종도램마을점,"세종특별자치시 보듬3로 8-29 (도담동, 해피라움6) 110호"
본 죽&비빔밥 세종시청점,"세종특별자치시 한누리대로 2144 (보람동, 스마트허브Ⅱ) 105호"
본도시락 세종시청점,"세종특별자치시 한누리대로 2135 (보람동, 스타힐타워Ⅰ) 스타힐타워1동 103호"
본죽 세종소담점,"세종특별자치시 시청대로 236 (소담동, 새샘마을3단지) B상가동 119호"
본죽 세종고운점,"세종특별자치시 마음로 264 (고운동, 고운프라자)"
본죽 세종부강점,세종특별자치시 부강면 부강로 26-5
본죽 조치원점,세종특별자치시 조치원읍 조치원7길 7
