매장명,매장주소
본 죽&비빔밥 울산서동점,울산광역시 중구 동천서로 56 (서동) 104호
본도시락 울산옥동점,울산광역시 남구 대공원입구로21번길 44 (옥동) 1층
본 죽&비빔밥 울산청량점,"울산광역시 울주군 청량읍 상남길 25 (상남리, 울주상남골드클래스) 상가동 108호"
본 죽&비빔밥 울산성남점,울산광역시 중구 중앙길 142 (성남동) 1층 본죽&비빔밥 울산성남점
본 죽&비빔밥 울산성안점,울산광역시 중구 성안로 160 (성안동) 103호
본 죽&비빔밥 울산남목점,울산광역시 동구 방어진순환도로 1120 (서부동) 본죽&비빔밥 울산남목점
본 죽&비빔밥 울산구영점,"울산광역시 울주군 범서읍 점촌3길 8-15 (구영리, 지에스프라자) 본죽&비빔밥 울산구영점"
본 죽&비빔밥 울산염포점,울산광역시 북구 염포로 615 (염포동) 본죽&비빔밥 울산염포점
본 죽&비빔밥 울산우정점,"울산광역시 중구 평동3길 1 (유곡동, 울산 유곡 푸르지오) 122동 108호"
본 죽&비빔밥 울산월드점,"울산광역시 북구 괴정1길 114 (매곡동, 아이마음소아청소년병원) 103호"
본 죽&비빔밥 울산공업탑점,울산광역시 남구 봉월로 10 (신정동) 1호
본 죽&비빔밥 울산태화점,"울산 중구 신기14길 1 (태화동, 일신아파트) 상가 106호"
본도시락 울산범서점,울산광역시 울주군 범서읍 구영로 162 103호
본 죽&비빔밥 울산명촌점,울산 북구 명촌로 29 (진장동) 1층
본도시락 울산혁신점,울산광역시 중구 종가2길 40 (유곡동) 102호
본도시락 울산중구청점,울산광역시 중구 화합로 377 (반구동)
본 죽&비빔밥 울산송정점,울산 북구 박상진12로 11 (송정동) 1층
본죽 울산굴화점,울산광역시 울주군 범서읍 장검길 10 (울산원예농협하나로마트) 농협하나로마트
본 죽&비빔밥 울산삼산점,울산광역시 남구 삼산로253번길 7 (달동)
본도시락 울산삼산점,울산광역시 남구 돋질로 202 (달동) 1층
본 죽&비빔밥 울산약사점,울산광역시 중구 번영로 487 (약사동) 1층
본 죽&비빔밥 울산화봉점,"울산광역시 북구 상방로 110 (연암동, 성원아파트) 제상가6동 109호"
본도시락 울산대점,울산광역시 남구 신복로6번길 17 (무거동) 지하1층 102호
본 죽&비빔밥 울산매곡점,울산광역시 북구 매곡1로 46 (매곡동)
본죽 울산일산테라스파크점,울산광역시 동구 방어진순환도로 652 C동 1층 115호
본 죽&비빔밥 울산야음점,"울산광역시 남구 수암로149번길 9 (야음동, 대하미르빌주상복합아파트)"
본죽 울주덕신점,울산광역시 울주군 온산읍 덕신로 269
본 죽&비빔밥 울산무거점,울산광역시 남구 옥현로46번길 5-12 (무거동)
본 죽&비빔밥 울산강동산하점,울산광역시 북구 산하중앙2로 283
본죽 울산온양점,울산광역시 울주군 온양읍 온양로 89번지
본 죽&비빔밥 울산달동굿모닝점,울산광역시 남구 삼산로 123 눈높이 울산센터
본죽 울산병원점,울산광역시 남구 번영로 223 극동스타클래스 105호
본도시락 울산달동야음점,울산광역시 남구 수암로 123
본죽 울산옥동점,울산광역시 남구 문수로344번길 1 (옥동)
본 죽&비빔밥 울산호계점,울산광역시 북구 호계로 329 문화청솔아파트상가 102호
본 죽&비빔밥 울산신정시장점,울산광역시 남구 중앙로 237
본죽 울산쌍용아진점,울산광역시 북구 신답로 36 (상안동)
본죽 울산명덕현대점,울산광역시 동구 방어진순환도로 917
본죽 언양점,울산광역시 울주군 삼남면 교동리 남상평2길 2
본죽 울산전하점,"울산광역시 동구 전하로 37, 103동 102호"
