매장명,매장주소
본 죽&비빔밥 인천마전동점,인천광역시 서구 마전동 1140-5 102호
본 죽&비빔밥 인천인하대역점,"인천광역시 미추홀구 독배로 311 (용현동, 비젼프라자) 1층 제102호"
본 죽&비빔밥 인천청라호수공원점,인천광역시 서구 청라한내로 96 (청라동) 하엘에스페이스 제 1층 102호
본도시락 인천계양구청점,"인천광역시 계양구 도두리로 33 (계산동, 상산빌딩) 104호"
본 죽&비빔밥 인천갈산점,"인천광역시 부평구 주부토로 182 (갈산동, 승전빌딩) 104호"
본 죽&비빔밥 인천도화점,"인천광역시 미추홀구 숙골로87번길 2 (도화동, 센타프라자) 센터프라자 101호"
본 죽&비빔밥 인천소래역점,인천광역시 남동구 앵고개로 928 (논현동) 115호
본 죽&비빔밥 인천작전동점,인천광역시 계양구 효서로 233 (작전동)
본 죽&비빔밥 송도랜드마크시티더샵점,"인천광역시 연수구 랜드마크로 68 (송도동, 랜드마크시티센트럴더샵) 1층 79호"
본도시락 영종하늘도시점,인천광역시 중구 자연대로 37 (중산동) 스카이가든 115호
본 죽&비빔밥 인천보훈병원점,인천광역시 미추홀구 인주대로 148 (용현동) 115호
본 죽&비빔밥 인천부평부개동점,"인천광역시 부평구 길주남로 158 (부개동, 부개프라자) 부개프라자 109호"
본도시락 송도글로벌캠퍼스점,"인천광역시 연수구 송도문화로28번길 28 (송도동, 송도글로벌캠퍼스푸르지오) 201동 115호"
본 죽&비빔밥 인천한화에코점,인천광역시 남동구 에코중앙로156번길 5-21 (논현동) 101호
본 죽&비빔밥 인천계양점,"인천광역시 계양구 계산새로 71 (계산동, 하이베라스) D동 107호"
본 죽&비빔밥 인천제물포역점,인천광역시 미추홀구 수봉로27번길 4 (숭의동) 101호
본 죽&비빔밥 인천경인교대역점,인천광역시 계양구 계양대로 157 (계산동) 1층
본도시락 인천논현점,"인천광역시 남동구 앵고개로847번길 80-9 (논현동, 뉴가산시티) 1층 121호"
본 죽&비빔밥 인천동암역점,인천광역시 부평구 열우물로 22 (십정동) 부림빌딩 1층
본 죽&비빔밥 송도글로벌캠퍼스점,"인천 연수구 송도문화로28번길 28 (송도동, 송도글로벌캠퍼스푸르지오) 203동 3-127호"
본 죽&비빔밥 송도퍼스트파크점,"인천광역시 연수구 컨벤시아대로230번길 42 (송도동, 송도아라플라자) 109호"
본설렁탕 인천루원시티점,인천 서구 새오개로111번안길 19-1 (신현동) 108호
본 죽&비빔밥 인천선학점,인천 연수구 선학동 411-1 1층
본죽 인천학익점,인천광역시 미추홀구 매소홀로 468 (학익동) 목향빌딩내 1층
본 죽&비빔밥 인천경서점,"인천광역시 서구 경서로69번길 12 (경서동, 상현빌딩)"
본죽 인천임학역점,인천광역시 계양구 장제로 899 (임학동)
본 죽&비빔밥 인천백운역점,인천광역시 부평구 경원대로 1254 (산곡동)
본도시락 인천검단점,"인천광역시 서구 원당대로 638 (당하동, 경원하이뷰) 101호"
본도시락 인천삼산점,인천광역시 부평구 장제로 226 (부개동) 1층 일부
본 죽&비빔밥 구월아시아드점,"인천광역시 남동구 인하로 616 (구월동, 커뮤니티프라자) 1층 111호"
본죽 인천관교점,인천광역시 남동구 문화서로4번길 40 (구월동) 1층
본죽 부평영아사거리점,인천광역시 부평구 마장로 396-1 (청천동) 1층
본 죽&비빔밥 인천논현점,"인천광역시 남동구 논고개로 117 (논현동, 메트로타워) 101호"
본도시락 영종도운서점,"인천광역시 중구 영종대로 120 (운서동, 두손에어파스텔) 1층 102호"
본 죽&비빔밥 인천용현2동점,인천광역시 미추홀구 낙섬중로 98 (용현동)
본 죽&비빔밥 인천주안점,"인천광역시 미추홀구 미추홀대로 716 (주안동, 메인프라자) 104호"
본도시락 인천청라점,"인천광역시 서구 청라라임로 57 (청라동, 영화블렌하임)"
본 죽&비빔밥 인천연희연세병원점,인천광역시 서구 서곶로369번길 22 (연희동) 104호
본 죽&비빔밥 영종운서넙디점,인천광역시 중구 영종대로327번길 4 (운서동) 1층
본 죽&비빔밥 인천신기점,인천광역시 미추홀구 인하로 255 (주안동)
본도시락 인천서창점,인천광역시 남동구 서창방산로158번길 2 (서창동) 허브빌딩
본죽 인천구월점,"인천광역시 남동구 성말로13번길 15 (구월동, 메인프라자) 메인프라자 127호"
본도시락 인천구월점,인천광역시 남동구 선수촌공원로 25 103호
본죽 인천서운점,인천광역시 계양구 효서로 366 (작전동) 1층
본죽 인천부평남부역점,인천광역시 부평구 경인로 951 (부평동) 1층
본죽 송도캠퍼스타운점,"인천광역시 연수구 송도과학로27번길 55, B-103호"
본죽 인천검단점,인천광역시 서구 완정로 144 프라임타워 108호
본죽 인천석바위점,인천광역시 남구 경원대로864번길 10 (주안동) 아카데미프라자 1층 103호
본죽 인천삼산점,인천광역시 부평구 체육관로 34 (삼산동) 이리옴프라자 102호
본 죽&비빔밥 송도신도시점,인천광역시 연수구 컨벤시아대로 69 송도밀레니엄 1층 136호
본죽 인천효성점,인천광역시 계양구 안남로 571 (효성동) 1층
본죽 부평부개역점,인천광역시 부평구 수변로 8 파워프라자 112호 (부개동)
본 죽&비빔밥 인천청라신도시점,인천광역시 서구 푸른로8번안길 6 (경서동)
본도시락 부평역점,"인천광역시 부평구 경원대로 1415 파라움, 1층 102호"
본 죽&비빔밥 인천부평점,인천광역시 부평구 부평문화로 51 1층
본죽 인천호구포역점,"인천광역시 남동구 호구포로 212 (논현동, 대양프라자빌딩) 103호"
본 죽&비빔밥 인천연수점,인천광역시 연수구 먼우금로 194 (연수동) 두손메카 106호
본도시락 인천길병원점,"인천광역시 남동구 구월남로 163 (구월동, 토성프라자) 101호"
본죽 인천간석남부역점,인천광역시 남동구 주안로 231 (간석동) 1층
본죽 인천청학점,"인천광역시 연수구 용담로 3 (청학동, 시대아파트) 소망마트상가 101-5호"
본도시락 인하대점,인천광역시 남구 능해길 8 (용현동) 1층
