매장명,매장주소
본도시락 순천중앙점,"전라남도 순천시 연자로 10 (남내동, 성금당) 1층"
본 죽&비빔밥 순천오천점,"전라남도 순천시 오천6길 24 (오천동, G-Place 오) 113호"
본설렁탕 목포하당점,전라남도 목포시 비파로43번길 31-1 (상동) 104호
본설렁탕 여수여천점,전라남도 여수시 시청로 34 (학동) 제1층 제 101호
본 죽&비빔밥 전남장성점,전라남도 장성군 장성읍 영천로 165-1 (영천리) 1층
본 죽&비빔밥 순천조례왕지점,"전라남도 순천시 왕궁길 10 (조례동, 동죽) 1층"
본 죽&비빔밥 목포하당점,전라남도 목포시 백년대로 330 (상동) 1층
본도시락 전남화순점,"전라남도 화순군 화순읍 자치샘로 48 (향청리, 미래타워) 1층"
본설렁탕 순천신대점,전라남도 순천시 해룡면 신대1길 4-21 (신대리) 에이치탑주차빌딩 제1층 제115호
본 죽&비빔밥 여수미평점,전라남도 여수시 둔덕2길 6-4 (미평동) 1층
본 죽&비빔밥 순천병원점,"전라남도 순천시 조례1길 5 (조례동, 경희미용실) 1층"
본 죽&비빔밥 목포용해점,"전라남도 목포시 용해지구로 9 (용해동, 유앤아이치과) 101호"
본도시락 전남광양읍점,전라남도 광양시 광양읍 서평로 72 (칠성리) 1층
본 죽&비빔밥 여수소호점,전라남도 여수시 소호로 471-1 (소호동) 1층
본 죽&비빔밥 목포북항점,전남 목포시 청호로 183 (산정동) 101호
본 죽&비빔밥 순천용당점,전남 순천시 용당삼산로 11 (용당동) 1층
본 죽&비빔밥 영암삼호점,전라남도 영암군 삼호읍 대불주거5로 6
본 죽&비빔밥 여수웅천점,전라남도 여수시 웅천로 19-9 (웅천동) 101호
본도시락 순천조례점,전라남도 순천시 비봉길 84 (조례동) 101호
본죽 전남구례점,전라남도 구례군 구례읍 로터리길 24-1
본 죽&비빔밥 순천연향점,"전라남도 순천시 연향번영길 122 (연향동, 휴대폰종합할인매장)"
본 죽&비빔밥 전남곡성점,전라남도 곡성군 곡성읍 읍내8길 11-1
본 죽&비빔밥 전남화순점,전라남도 화순군 화순읍 광덕로 183 (대방마트)
본 죽&비빔밥 영광점,전라남도 영광군 영광읍 물무로 105
본 죽&비빔밥 여수한국병원점,전라남도 여수시 여천체육공원길 10 (신기동)
본 죽&비빔밥 여수중앙점,전라남도 여수시 좌수영로 39 (광무동) 2층
본 죽&비빔밥 여수죽림점,전라남도 여수시 소라면 죽림로 5
본 죽&비빔밥 나주혁신호수공원점,"전라남도 나주시 그린로 339 (빛가람동) 101, 102호"
본 죽&비빔밥 순천중앙점,"전라남도 순천시 중앙로 73 (저전동, SK텔레콤,본죽)"
본설렁탕 목포남악점,전라남도 무안군 삼향읍 남악3로 71 (더트리폴리앙아파트) 상가동 116호
본도시락 전남광양점,전라남도 광양시 광장로 137
본도시락 목포하당점,전라남도 목포시 교육로41번길 3 (상동)
본죽 여수국동점,전라남도 여수시 신월로 668 (국동) 1층
본 죽&비빔밥 나주혁신한전점,전라남도 나주시 전력로 2 이화프라자 1층 101호
본죽 여수여서점,전라남도 여수시 여서1로 13 (여서동)
본 죽&비빔밥 순천신대점,전라남도 순천시 해룡면 신대3길 2 102호
본 죽&비빔밥 전남강진점,전라남도 강진군 강진읍 영랑로 18-2
본죽 나주점,전라남도 나주시 중앙로 52 (성북동)
본도시락 나주혁신도시점,"전라남도 나주시 상야3길 8 (빛가람동, 중흥s클래스메가티움2차) 104호"
본죽 전남보성점,전라남도 보성군 보성읍 중앙로 97
본죽 전남담양점,전라남도 담양군 담양읍 죽향대로 1195
본죽 여천신동아점,전라남도 여수시 무선로 53 (선원동)
본도시락 목포남악점,전라남도 무안군 삼향읍 남악5로22번길 23
본도시락 여수여천점,전라남도 여수시 쌍봉로 46
본죽 광양중동점,전라남도 광양시 길호1길 1 (중동)
본죽 순천금당점,전라남도 순천시 해룡면 장선배기길 272 (부영6차아파트) 1층 5호
본죽 전남진도점,전라남도 진도군 진도읍 남문길 39 층
본죽 광양마동점,전라남도 광양시 진등5길 14 (마동)
본죽 광양읍점,전라남도 광양시 광양읍 신재로 27 (인동리)
본죽 전남해남점,전라남도 해남군 해남읍 홍교로 43-1 (동의건강원)
본 죽&비빔밥 목포남악점,전라남도 무안군 삼향읍 남악2로 74번길 37 자일빌딩 103호
