매장명,매장주소
본설렁탕 전주평화점,전라북도 전주시 완산구 모악로 4753 (평화동1가) 1층
본 죽&비빔밥 전주중화산점,"전라북도 전주시 완산구 백제대로 230 (중화산동2가, 훼미리마트)"
본설렁탕 전주금암점,전라북도 전주시 덕진구 전주천동로 492 (금암동) 1층
본 죽&비빔밥 전주평화현대점,전라북도 전주시 완산구 모악로 4692 (평화동2가) 1층
본도시락 군산수송점,전라북도 군산시 월명로 215 (수송동) 1층
본도시락 전주혁신도시점,전라북도 완주군 이서면 기지로 50 (갈산리) 104호
본 죽&비빔밥 익산중앙점,"전라북도 익산시 익산대로 160 (중앙동1가, 대동의원) 1층"
본 죽&비빔밥 익산함열점,"전라북도 익산시 함열읍 함열중앙로 14 (와리, 느티나무한의원) 1층"
본 죽&비빔밥 전주서곡점,전라북도 전주시 완산구 세내로 546 (효자동3가) 1층
본도시락 전북정읍점,전라북도 정읍시 중앙로 50 (연지동) 1층
본죽 익산배산점,전라북도 익산시 선화로1길 8 (모현동1가) 102-2호
본 죽&비빔밥 전주아중점,"전라북도 전주시 덕진구 무삼지로 80 (인후동1가, 이태관내과) 1층"
본 죽&비빔밥 익산모현점,"전라북도 익산시 고현로 100 (모현동1가, 보디가드모현점) 1층"
본 죽&비빔밥 익산부송점,전라북도 익산시 무왕로 1192-1 (부송동) 학산빌딩 1층
본도시락 전북김제점,전북 김제시 검산택지5길 21-16 (검산동) 1층
본도시락 전북남원점,전북 남원시 남문로 423 1층 본도시락
본 죽&비빔밥 군산대명점,"전북 군산시 대명4길 9 (금암동, 레비뉴스테이) 상가동 113호"
본도시락 전북완주점,전북 완주군 봉동읍 둔산3로 87 (둔산리) 1층
본 죽&비빔밥 익산영등제일점,"전라북도 익산시 고봉로30길 13 (영등동, 제일아파트) 제일A상가 110동 105호"
본도시락 전북대점,전라북도 전주시 덕진구 조경단로 83 (금암동) 1층
본 죽&비빔밥 전주효천점,전라북도 전주시 완산구 효천중앙로 55 (효자동2가) 106호
본죽 전주안골점,전라북도 전주시 덕진구 안덕원로 263 (인후동1가)
본 죽&비빔밥 전주객사점,전라북도 전주시 완산구 충경로 40 (중앙동2가) 1층
본죽 전북정읍점,"전라북도 정읍시 중앙로 104 (연지동, 마담라이센스)"
본도시락 익산원광대점,전라북도 익산시 무왕로 932-1 (신동) 1층
본도시락 전주서신점,전라북도 전주시 완산구 온고을로 26 (서신동) 트윈폴라스 104호
본 죽&비빔밥 전주솔내점,전라북도 전주시 덕진구 시천로 48 (송천동1가)
본 죽&비빔밥 남원도통점,전라북도 남원시 오들1길 17 (도통동)
본 죽&비빔밥 전주삼천흥건점,"전라북도 전주시 완산구 거마평로 33 (삼천동1가, 흥건2차아파트상가)"
본 죽&비빔밥 전주하가점,"전라북도 전주시 덕진구 가련산로 6 (덕진동2가, 예담빌딩) 1층"
본 죽&비빔밥 정읍상동점,전라북도 정읍시 충정로 59 (상동) 102호
본죽 전주효자문학점,"전라북도 전주시 완산구 문학대4길 32-4 (효자동3가, 정원빌) 102호"
본 죽&비빔밥 전주에코시티점,전라북도 전주시 덕진구 세병2길 21 (송천동2가) 101동 104호
본죽 전주서신풍년점,"전라북도 전주시 완산구 온고을로 119 (서신동, 신일아파트) 본죽 전주서신풍년점"
본죽 군산소룡점,"전라북도 군산시 공단대로 563 (소룡동, 올마트) 1층 106호"
본 죽&비빔밥 전주예수병원점,"전라북도 전주시 완산구 서원로 365 (중화산동1가, 예수병원) 지하1층 상가"
본 죽&비빔밥 전주혁신도시점,전라북도 완주군 이서면 기지로 51
본 죽&비빔밥 전주만성점,전라북도 전주시 덕진구 만성중앙로 45 (만성동) 센타프라자 107호
본 죽&비빔밥 군산나운점,"전라북도 군산시 하나운로 76 (나운동, 군산통증의학과의원) 1층"
본 죽&비빔밥 전주대자인병원점,전라북도 전주시 덕진구 견훤로 379 (인후동2가)
본도시락 전주평화점,"전라북도 전주시 완산구 모악로 4749 (평화동1가, 송강부동산)"
본설렁탕 전주혁신점,전라북도 완주군 이서면 오공로 11-23 대성타워 1층 101호
본죽 익산원광대병원점,전라북도 익산시 무왕로 898 (신동)
본 죽&비빔밥 전주고려병원점,전라북도 전주시 덕진구 안덕원로 373 (산정동)
본도시락 전주송천에코시티점,"전라북도 전주시 덕진구 천마산로 100 (송천동1가, 진흥더블파크아파트) 진흥더블파크 101동 상가 105호"
본 죽&비빔밥 군산디오션점,전라북도 군산시 궁포3로 5 (조촌동) 103호
본 죽&비빔밥 전주롯데점,전라북도 전주시 완산구 온고을로 30-18 (서신동) 한율빌딩 1층
본 죽&비빔밥 전주서신점,"전라북도 전주시 완산구 서신로 11 (서신동, 진하빌딩)"
본죽 전주송천점,전라북도 전주시 덕진구 송천중앙로 160 (송천동1가)
본 죽&비빔밥 전북대점,전라북도 전주시 덕진구 권삼득로 333 원플러스 103호
본 죽&비빔밥 군산미장지구점,전라북도 군산시 수송로 289 (미장동) 정원빌딩 101호
본죽 전주평화동점,전라북도 전주시 완산구 장승배기로 194 (평화동1가) 1이 709-1
본 죽&비빔밥 군산수송점,전라북도 군산시 월명로 245 (수송동) 1층
본죽 전북남원점,전라북도 남원시 남문로 423 (하정동)
본죽 전주삼천점,전라북도 전주시 완산구 용리로 136 (삼천동1가) 1이 621-6번지
본죽 전주덕진구청점,전라북도 전주시 덕진구 태진로 108 (진북동)
본 죽&비빔밥 익산영등점,전라북도 익산시 무왕로9길 7 (영등동) 1층
본죽 군산중앙점,"전라북도 군산시 중앙로 146-1 (중앙로1가, 본죽)"
본 죽&비빔밥 익산동산이마트점,전라북도 익산시 서동로 31 301동 101-1호
본도시락 전주전북도청점,전북 전주시 완산구 홍산남로 11-24 103호
본죽 전북삼례점,전라북도 완주군 삼례읍 삼봉로 15
본 죽&비빔밥 동군산병원점,전라북도 군산시 조촌로 149 동군산병원
본죽 전주효자휴먼시아점,"전라북도 전주시 완산구 호암로 91 , 1층101호(효자동2가)"
본죽 전주시청점,전라북도 전주시 완산구 노송광장로 63 (서노송동)
본죽 전북부안점,전라북도 부안군 부안읍 번영로 111
본죽 전북고창점,전라북도 고창군 고창읍 중앙로 188 1층
본 죽&비빔밥 전주전북도청점,전라북도 전주시 완산구 홍산남로 45
본 죽&비빔밥 군산지곡점,전라북도 군산시 백토로 231
본 죽&비빔밥 군산대학교점,"전라북도 군산시 황룡로 16 (미룡동, 토파즈빌딩) 105호 본죽&비빔밥 군산대학교점"
본죽 전주효자점,전라북도 전주시 완산구 거마평로 152 (효자동1가)
본죽 전주효자서부시장점,전라북도 전주시 완산구 용머리로 157 (효자동1가)
본죽 익산북부시장점,전라북도 익산시 인북로 276 (남중동)
본죽 전북순창점,전라북도 순창군 순창읍 장류로 356-1
본죽 전주호성점,전라북도 전주시 덕진구 소리로 192 (호성동1가) 1이 794-8번지
본죽 전주동산점,전라북도 전주시 덕진구 쪽구름로 75 (반월동)
본죽 전주금암점,전라북도 전주시 덕진구 백제대로 649 (금암동)
본죽 전북봉동점,전라북도 완주군 봉동읍 둔산3로 79
본죽 전북김제점,전라북도 김제시 동서로 241 (요촌동)
