매장명,매장주소
본설렁탕 제주한라병원점,"제주특별자치도 제주시 도령로 73 (연동, 연동 펠리체) 제2층 제202호"
본도시락 제주시청점,제주특별자치도 제주시 이도이동 1169-2 1층
본 죽&비빔밥 제주함덕점,제주특별자치도 제주시 조천읍 신북로 507 (함덕리) 1층
본 죽&비빔밥 제주삼화점,제주특별자치도 제주시 건주로 43 (도련일동) 삼화로데오빌딩 107호
본도시락 제주삼화점,제주특별자치도 제주시 동화로 7 (화북일동) 1층 104호
본 죽&비빔밥 제주아라점,제주특별자치도 제주시 아란9길 6 (아라일동) 1층
본 죽&비빔밥 신제주점,"제주특별자치도 제주시 삼무로 2 (연동, 열린학원) 1층"
본도시락 제주아라점,제주특별자치도 제주시 아란5길 43 (아라일동) 101호
본 죽&비빔밥 제주노형점,"제주특별자치도 제주시 월랑로 39 (노형동, 동마빌딩) 1층"
본 죽&비빔밥 제주연동점,제주특별자치도 제주시 국기로 13-1 (연동)
본도시락 제주노형점,제주특별자치도 제주시 노형14길 12 (노형동)
본죽 제주영어마을점,제주특별자치도 서귀포시 대정읍 글로벌에듀로 382 제주이노에듀타운 A110호
본 죽&비빔밥 제주강정점,제주특별자치도 서귀포시 대청로25번길 4 (강정동) 103호
본죽 제주외도점,제주특별자치도 제주시 우정로 52
본죽 제주중앙점,제주특별자치도 제주시 중앙로 87
본죽 제주법원점,제주특별자치도 제주시 중앙로 320-1 (이도이동) 1층
본죽 제주서귀포점,제주특별자치도 서귀포시 중앙로 111 (서홍동)
본죽 제주일도점,제주특별자치도 제주시 고마로 101 (일도이동)
