매장명,매장주소
본 죽&비빔밥 보령동대점,충청남도 보령시 한내로터리길 85 (동대동) 102호
본 죽&비빔밥 아산음봉점,충청남도 아산시 음봉면 음봉로 515-46 (월랑리) 1층 102호
본 죽&비빔밥 서천장항점,"충청남도 서천군 장항읍 장항로 168 (창선1리, 북경한의원) 1층"
본 죽&비빔밥 보령대천점,충청남도 보령시 대천로 11 (대천동) 1층
본 죽&비빔밥 아산이수병원점,충청남도 아산시 배방읍 고속철대로 61 (장재리) B1층
본 죽&비빔밥 당진터미널점,"충청남도 당진시 밤절로 168 (수청동, 로뎀타워) 113호"
본 죽&비빔밥 계룡대점,충청남도 계룡시 엄사면 엄사중앙로 105-1 (엄사리) 1층
본 죽&비빔밥 천안쌍용이마트점,"충청남도 천안시 서북구 충무로 205 (쌍용동, 다선빌딩) 1층"
본도시락 충남계룡점,충청남도 계룡시 엄사면 번영로 95 (엄사리) 1층
본 죽&비빔밥 천안터미널점,"충청남도 천안시 동남구 만남로 11 (신부동, 두아빌딩) 1층"
본도시락 서산테크노밸리점,충청남도 서산시 성연면 성연2로 44 (오사리) 테라스S 105호
본 죽&비빔밥 천안직산점,충청남도 천안시 서북구 성거읍 봉주로 97 (신월리) 104호
본 죽&비빔밥 온양온천역점,"충청남도 아산시 온천대로 1490 (온천동, 허브치과의원) 1층"
본 죽&비빔밥 아산테크노밸리점,충청남도 아산시 둔포면 아산밸리중앙로 85 (석곡리) 104호
본 죽&비빔밥 천안두정역점,충청남도 천안시 서북구 봉정로 380 (두정동) 1층
본 죽&비빔밥 서산해미점,충청남도 서산시 해미면 해운로 13 (읍내리) 1층
본 죽&비빔밥 서산테크노밸리점,"충청남도 서산시 성연면 성연3로 36 (왕정리, 이안아파트) 207호"
본 죽&비빔밥 논산내동점,충청남도 논산시 대학로 87 (내동) 109호
본도시락 충남예산점,충남 예산군 예산읍 역전로 145-3 (산성리) 1층
본도시락 천안두정점,충남 천안시 서북구 두정동 1524 105호
본 죽&비빔밥 당진수청점,충남 당진시 시청2로 49-19 (수청동) 116호
본도시락 천안불당점,충남 천안시 서북구 불당30길 46 (불당동) 1층 103호
본 죽&비빔밥 충남도청점,"충남 홍성군 홍북읍 청사로174번길 2 (신경리, 한승갤러리) 101호"
본 죽&비빔밥 홍성점,충청남도 홍성군 홍성읍 조양로 140
본 죽&비빔밥 천안백석푸르지오점,충청남도 천안시 서북구 한들3로 84 (백석동) 105호
본죽 서산읍내동점,충청남도 서산시 부춘1로 36 (읍내동)
본 죽&비빔밥 천안펜타포트점,"충청남도 천안시 서북구 공원로 195 (불당동, 펜타포트) 펜타포스 상가 지하1층"
본도시락 아산탕정점,충청남도 아산시 탕정면 탕정면로8번길 89
본 죽&비빔밥 천안성거점,충청남도 천안시 서북구 성거읍 성거길 85 (소리샘음악학원) 101호
본설렁탕 천안불당점,충청남도 천안시 서북구 불당33길 46 (불당동) 105호
본 죽&비빔밥 천안성성점,충청남도 천안시 서북구 성성8로 14-10 (성성동) 104호
본 죽&비빔밥 예산터미널점,충청남도 예산군 예산읍 역전로 154 101호
본죽 아산배방점,충청남도 아산시 배방읍 모산로 145 (공수리)
본도시락 천안청당점,충청남도 천안시 동남구 청수5로 3 (청당동) 랜드마크원빌딩 101호
본 죽&비빔밥 서산터미널점,"충청남도 서산시 안견로 190 (동문동, 서산공용버스터미널)"
본도시락 천안성정점,충청남도 천안시 서북구 성정4길 25 (성정동) 1층
본 죽&비빔밥 천안신불당북부점,충청남도 천안시 서북구 불당25로 192 (불당동) 골든프라자2 116호
본도시락 서산점,충청남도 서산시 시장2로 35 (동문동)
본도시락 아산온양온천점,충청남도 아산시 청운로 70 (온천동) 1층
본죽 아산탕정점,충청남도 아산시 탕정면 탕정면로 37 탕정삼성트라팰리스상가 1층
본죽 계룡금암점,충청남도 계룡시 장안로 64 (금암동)
본 죽&비빔밥 내포첫마을점,"충청남도 홍성군 홍북면 청사로48번길 4 아이프라자(105호, 106호)"
본죽 당진점,충청남도 당진시 계성3길 35
본죽 홍성법원점,충청남도 홍성군 홍성읍 법원로 41 홍성법조타운 101호
본죽 천안신방동점,충청남도 천안시 동남구 수곡2길 4 (신방동) 4호
본도시락 아산배방점,충청남도 아산시 배방읍 북수로 128 1동1층
본죽 예산군청점,충청남도 예산군 예산읍 예산로 197 KS빌딩 1층
본죽 천안쌍용점,충청남도 천안시 서북구 월봉로 83 (쌍용동)
본 죽&비빔밥 아산모종점,충청남도 아산시 모종남로12번길 11 (모종동) 103호
본도시락 충남보령점,충청남도 보령시 주공로 8 (명천동) 3호
본죽 충남서천점,충청남도 서천군 서천읍 서천로 124
본죽 천안두정점,충청남도 천안시 서북구 성정중4길 3 (성정동) 본죽
본 죽&비빔밥 충남태안점,충청남도 태안군 태안읍 중앙로 165
본죽 공주중동점,충청남도 공주시 무령로 225번지 2층
본죽 아산연화마을점,"충청남도 아산시 배방읍 용연로 89, 1층"
본도시락 논산내동점,충청남도 논산시 시민로132번길 40-11
본 죽&비빔밥 충남보령점,충청남도 보령시 주공로 8 (명천동)
본도시락 충남당진점,충청남도 당진시 북문길 11 (읍내동) 101호
본 죽&비빔밥 천안청당점,충청남도 천안시 동남구 청수4로 10 (청당동) 107호
본죽 천안성환점,충청남도 천안시 서북구 성환읍 성환2로 105
본 죽&비빔밥 천안신불당남부점,충청남도 천안시 서북구 불당33길 24 (불당동) 리앤시티 106호
본죽 천안차암동점,충청남도 천안시 서북구 3공단6로 50 힐링제이타워 103호
본죽 논산점,충청남도 논산시 중앙로 473 (반월동)
본죽 공주신관동점,충청남도 공주시 번영1로 68 (신관동)
본죽 천안순천향병원점,충청남도 천안시 동남구 순천향3길 41 (봉명동)
본도시락 홍성내포신도시점,충청남도 홍성군 홍북면 상하천로 31 내포아르페온1차 1층 122호
본도시락 천안안서점,"충청남도 천안시 동남구 중암1길 8 (안서동, 삼보홈타운)"
본죽 아산용화점,충청남도 아산시 온중로 57 (용화동)
본도시락 공주중동점,충청남도 공주시 무령로 222 (중동)
본죽 금산점,충청남도 금산군 금산읍 비범로 4
