매장명,매장주소
본 죽&비빔밥 청주율량2지구점,충청북도 청주시 청원구 율량로 118 (주성동) 1층
본 죽&비빔밥 청주강서점,충청북도 청주시 흥덕구 서현북로 66 (가경동) 103호
본 죽&비빔밥 서충주점,충청북도 충주시 중앙탑면 원앙길 8-14 (용전리) 101호
본 죽&비빔밥 음성혁신두성점,충청북도 음성군 맹동면 대하로 242 (두성리) 나동 102호
본 죽&비빔밥 청주방서점,충청북도 청주시 상당구 2순환로2031번길 12-6 (방서동) 1층
본 죽&비빔밥 강내점,충청북도 청주시 흥덕구 강내면 태성탑연로 452 (탑연리) 1층
본도시락 충북영동점,"충청북도 영동군 영동읍 중앙로 53 (계산리, 상가) 1층"
본도시락 제천점,충청북도 제천시 독순로11길 23 (의림동) 1층
본 죽&비빔밥 증평점,충청북도 증평군 증평읍 중앙로 194-9 (중동리) 1층
본도시락 오송점,충청북도 청주시 흥덕구 오송읍 오송생명로 186 (연제리) 오송프라자 113호
본 죽&비빔밥 청주운천신봉점,"충청북도 청주시 흥덕구 사운로 254 (운천동, 손범수내과소아과의원) 1층"
본 죽&비빔밥 제천점,충청북도 제천시 의림대로 102-2 (중앙로1가) 1층
본 죽&비빔밥 단양점,"충청북도 단양군 단양읍 삼봉로 299 (별곡리, 하나로약국) 1층"
본 죽&비빔밥 청주율량점,충청북도 청주시 청원구 율봉로 197 (율량동) 1층
본 죽&비빔밥 충북오송점,충청북도 청주시 흥덕구 오송읍 오송생명로 186 (연제리) 오송프라자 1층 105호
본 죽&비빔밥 청주사천점,충청북도 청주시 청원구 율봉로 106 (율량동) 1층 103호
본도시락 청주직지스타점,"충청북도 청주시 흥덕구 직지대로436번길 76 (송정동, 직지스마트타워) 102호"
본 죽&비빔밥 충주터미널점,"충청북도 충주시 봉계1길 60 (칠금동, 대영빌딩) 1층"
본 죽&비빔밥 청주오창2지구점,충청북도 청주시 청원구 오창읍 2산단로 138 (주성리) 101호
본 죽&비빔밥 청주성안길점,충북 청주시 상당구 상당로 77-4 (북문로1가) 102호
본 죽&비빔밥 충북영동점,충청북도 영동군 영동읍 영산로 5 (상가) 1층
본도시락 청주대점,충청북도 청주시 청원구 상당로 275 (내덕동) 1층
본죽 괴산점,충청북도 괴산군 괴산읍 읍내로 293
본도시락 오창중앙점,충청북도 청주시 청원구 오창읍 중심상업로 47 (리치아노오피스텔) 1동 106호
본 죽&비빔밥 제천명지병원점,"충청북도 제천시 내토로 991 (고암동, 의료법인명지의료재단명지병원) 101호"
본도시락 충북대점,충청북도 청주시 서원구 1순환로 700 (사창동) 1층
본도시락 충주호암점,충북 충주시 예성로 155 (성서동)
본 죽&비빔밥 청주동남점,충청북도 청주시 상당구 중고개로 115 (용암동)
본죽 청주산남법원점,"충청북도 청주시 서원구 산남로 64 (산남동, 엔젤변호사빌딩) 엔젤변호사빌딩 108호"
본 죽&비빔밥 음성금왕점,충청북도 음성군 금왕읍 무극로 338 102호
본 죽&비빔밥 청주옥산점,"충청북도 청주시 흥덕구 옥산면 오송가락로 1049 101,102호(일부)"
본 죽&비빔밥 충주호암점,충청북도 충주시 호암수청2로 29 (호암동)
본 죽&비빔밥 청주테크노폴리스점,충청북도 청주시 흥덕구 송화로150번길 21 (송절동)
본도시락 충북혁신도시점,충청북도 음성군 맹동면 동성리 501 117호
본죽 청주가경점,충청북도 청주시 흥덕구 가경로 148
본죽 청대우암점,충청북도 청주시 청원구 상당로 249 일진캠퍼스타워 102호
본죽 청주성화점,충청북도 청주시 서원구 신화로 38 (성화동)
본죽 청주수곡점,충청북도 청주시 서원구 수곡로 41 (수곡동)
본죽 청주지웰시티점,"충청북도 청주시 흥덕구 진재로103번길 37 (복대동, 신영지웰홈스아파트) A동 102호"
본죽 충북음성점,충청북도 음성군 음성읍 수정로 43
본도시락 청주산남점,충청북도 청주시 서원구 두꺼비로70번길 67 (산남동) 103호
본죽 제천청전점,"충청북도 제천시 청전대로 177 1층110호(청전동,덕일아파트상가)"
본죽 청주사창점,충청북도 청주시 서원구 사직대로 125 (사창동)
본죽 충주용산점,충청북도 충주시 남산로 107 훼미리마트
본도시락 청주강서점,충청북도 청주시 흥덕구 강서로 118 (강서동) 장한빌딩 109호
본죽 광혜원점,충청북도 진천군 광혜원면 장기길 95-1
본죽 청주개신점,충청북도 청주시 서원구 복대로 27 (개신동) 캐슬타워 106호
본죽 청주하복대점,충청북도 청주시 흥덕구 증안로 28-1
본도시락 충주터미널점,충청북도 충주시 봉계1길 32 (봉방동) 석담빌딩 101호
본죽 옥천점,충청북도 옥천군 옥천읍 중앙로 42
본 죽&비빔밥 충주계룡힐스점,충청북도 충주시 연수동 연수동산로3길 20 대명프라자 1층 107호
본죽 충북보은점,충청북도 보은군 보은읍 보은로 110-1
본죽 충북오창점,충청북도 청주시 청원구 오창읍 중심상업로 7 오창프라자 1층 115호
본죽 공단오거리점,충청북도 청주시 흥덕구 사직대로 12 (복대동)
본죽 청주모충동점,"충청북도 청주시 서원구 1순환로 771 (개신동, 개신빌딩)"
본죽 청주분평점,충청북도 청주시 서원구 청남로 1992 (분평동) 민정빌딩 1층
본죽 청주봉명점,충청북도 청주시 흥덕구 백봉로223번길 2 (봉명동) 번지 101-1호
본죽 청주금천광장점,충청북도 청주시 상당구 산성로 98번길 35 스타피아빌딩 104호
본죽 청주용암LG마트점,충청북도 청주시 상당구 중흥로 181 (용암동) 1층 103호
