,매장명,매장주소,lat,lng
0,본 죽&비빔밥 전농뉴타운점,서울특별시 동대문구 답십리로 77 (전농동) 1층,37.575107,127.0496237
1,본 죽&비빔밥 가산디지털점,"서울특별시 금천구 가산디지털1로 186 (가산동, 제이플라츠) 104-2호",37.4819131,126.8815811
2,본 죽&비빔밥 회현역점,"서울특별시 중구 퇴계로 72 (회현동1가, 리더스뷰남산) 115호",37.5591477,126.9805573
3,본 죽&비빔밥 남성역점,"서울특별시 동작구 사당로 215 (사당동, 서림빌딩) 103호",37.484352,126.9723834
4,본설렁탕 구로디지털단지점,"서울특별시 구로구 디지털로31길 53 (구로동, 이앤씨벤처드림타워5차) 104호",37.4856903,126.8924453
5,본도시락 청담점,서울특별시 강남구 학동로101길 7(청담동) 2층,37.5209207,127.0576487
6,본 죽&비빔밥 논현점,"서울특별시 강남구 학동로4길 15 (논현동, 동화상가) 106호",37.5105207,127.0235534
7,본 죽&비빔밥 매봉역점,서울특별시 강남구 남부순환로378길 12 (도곡동),37.485436,127.0458602
8,본도시락 중곡점,서울특별시 중랑구 면목로 231-1 (면목동) 1층,37.5737581,127.0844487
9,본 죽&비빔밥 보라매역점,서울특별시 동작구 여의대방로24가길 8 (대방동) 1층,37.4985771,126.9210569
10,본도시락 수락산역점,"서울특별시 노원구 동일로 1701 (상계동, 희성오피앙) 1층",37.6803112,127.0549036
11,본도시락 마포역점,서울특별시 마포구 토정로 317 (용강동) 1층,37.5397904,126.9440814
12,본 죽&비빔밥 숭실대역점,서울특별시 동작구 상도로 351 (상도동) 1층,37.4973456,126.9530245
13,본설렁탕 위례점,서울특별시 송파구 장지동 896 위례중앙푸르지오2단지 제상가동 제1층 제124호,37.4747699,127.1428247
14,본도시락 문정법조타운점,"서울특별시 송파구 충민로 5 (문정동, 송파한화오벨리스크) 119호",37.4801299,127.1196368
15,(취소)본 죽&비빔밥 구의시장점,서울특별시 광진구 광나루로 532 (구의동) 1층,37.5447054,127.0885125
16,본 죽&비빔밥 오목교역점,서울특별시 양천구 신목로 83 (신정동) 1층,37.5222954,126.8741389
17,본 죽&비빔밥 종로르메이에르점,"서울특별시 종로구 종로 19 (종로1가, 르메이에르종로타운1) B1층",37.5708345,126.9798606
18,본 죽&비빔밥 행당동점,서울특별시 성동구 행당로 101 (행당동) 1층,37.5578364,127.0301474
19,본설렁탕 문래점,"서울특별시 영등포구 선유로13길 25 (문래동6가, 에이스하이테크시티2) 117호",37.5189767,126.8862918
20,본 죽&비빔밥 응암오거리점,서울특별시 은평구 가좌로 245-1 (응암동) 1층,37.5911969,126.9154993
21,본 죽&비빔밥 충무로역점,서울특별시 중구 서애로1길 11 (충무로5가) 충무로헤센스마트아파트상가 1층 B125호,37.5613426,126.9985981
22,본도시락 압구정역점,서울특별시 강남구 압구정로18길 12 (신사동) 1층,37.5240699,127.0244887
23,본도시락 홍대점,"서울특별시 마포구 홍익로 10 (서교동, 서교푸르지오) B107호",37.5538,126.9237
24,본도시락 길동점,"서울특별시 강동구 진황도로 123 (길동, 광남캐스빌아파트201) 1층",37.5347954,127.1399922
25,본도시락 왕십리점,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐) 221동 1층 185호",37.5692575,127.0248134
26,본 죽&비빔밥 용산센트럴점,"서울특별시 용산구 한강대로 95 (한강로2가, 래미안용산 더 센트럴) 지하 148호",37.5290927,126.9668857
27,본도시락 마곡점,"서울특별시 강서구 강서로 411 (마곡동, 마곡에비앙) 108호",37.5624067,126.8390411
28,본도시락 오목교점,"서울특별시 양천구 목동서로 285 (신정동, 황금 프라자) 109호",37.5218487,126.8691433
29,본 죽&비빔밥 상일2동점,"서울특별시 강동구 상일로6길 39 (상일동, 강동타워) 1층",37.5498543,127.175374
30,본 죽&비빔밥 신림역점,서울특별시 관악구 신림로 309 (신림동) 1층,37.4820185,126.9296546
31,본설렁탕 상암DMC점,"서울특별시 마포구 월드컵북로54길 17 (상암동, 사보이시티디엠씨) B113호",37.5813386,126.8885633
32,본 죽&비빔밥 길음뉴타운점,"서울특별시 성북구 길음로 74 (길음동, 길음뉴타운) 길음뉴타운상가 2동 108호",37.6100532,127.0205837
33,본도시락 이수점,서울특별시 서초구 동광로 8 (방배동) 1층,37.4907502,126.9837065
34,본도시락 명동점,"서울특별시 중구 퇴계로20길 2 (남산동2가, 퍼시픽호텔) 1층",37.5598576,126.985374
35,본도시락 도곡동점,서울특별시 강남구 논현로34길 21 (도곡동) 1층 102호,37.484772,127.0436843
36,본도시락 가산점,"서울특별시 금천구 벚꽃로56길 182 (가산동, 램킨푸르지오시티) 106호",37.4796661,126.8883025
37,본도시락 방화점,서울특별시 강서구 양천로 85 (방화동) 1층,37.5736342,126.8132902
38,본도시락 신림점,서울특별시 관악구 신림동길 31-1 (신림동) 1층,37.486781,126.9252244
39,본 죽&비빔밥 하계점,"서울특별시 노원구 노원로 248 (하계동, 삼정 이오니아) 106호",37.6399219,127.0738098
40,본 죽&비빔밥 송정역점,서울특별시 강서구 공항대로 36 (공항동) 101호,37.5610175,126.8111431
41,본도시락 신사역점,서울특별시 강남구 압구정로2길 35 (신사동) 1층,37.5195528,127.0206216
42,본도시락 종로구청점,"서울특별시 종로구 삼봉로 81 (수송동, 두산위브파빌리온) 1층 115호",37.5725619,126.9815061
43,본 죽&비빔밥 신반포점,"서울특별시 서초구 반포대로 287 (반포동, 래미안퍼스티지 중심상가) 1층",37.5043414,127.0010992
44,본 죽&비빔밥 녹번점,서울특별시 은평구 은평로 240 (응암동) 힐스테이트 녹번역 근린생활시설 218호,37.6004227,126.934997
45,본 죽&비빔밥 북아현점,"서울특별시 서대문구 신촌로35길 10 (북아현동, 이편한세상신촌) 402동 B401호",37.5586219,126.9558605
46,본도시락 상일점,서울특별시 강동구 상일로12길 99 (상일동) 리엔프라자 1층101호,37.5568528,127.1729373
47,본 죽&비빔밥 연신갈현점,서울특별시 은평구 통일로83길 6-4 (갈현동) 1층,37.6212625,126.9192796
48,본 죽&비빔밥 홍은1동점,서울특별시 서대문구 홍은중앙로 103 (홍은동) 1층,37.5997995,126.9485332
49,본 죽&비빔밥 학동역점,"서울특별시 강남구 학동로 165 (논현동, 마일스디오빌) 1층",37.5137746,127.0290436
